Control,Status,Risk Score,Department,Owner,Created Date,Resolved Date,Framework,Control Description,Evidence,SLA Days,Access Type,MTTR Days
C0001,Completed,7,Risk,Jane,2025-02-16,2025-03-11,PCI-DSS,Patch Management,vuln_scan_report.pdf,30,Database,23.0
C0002,In Progress,1,HR,Brian,2025-03-28,,PCI-DSS,Encryption Control,vuln_scan_report.pdf,30,Database,
C0003,In Progress,6,Operations,Brian,2025-03-09,,PCI-DSS,Vulnerability Scan,incident_log.txt,14,Database,
C0004,Failed,3,IT,John,2025-01-18,2025-02-04,HIPAA,Firewall Configuration,firewall_config.png,14,Application,17.0
C0005,Completed,7,Risk,Mary,2025-01-21,2025-02-04,NIST,Firewall Configuration,vuln_scan_report.pdf,30,Database,14.0
C0006,Completed,2,Risk,Alice,2025-03-27,2025-04-20,PCI-DSS,Firewall Configuration,incident_log.txt,30,Database,24.0
C0007,Completed,2,IT,Brian,2025-01-23,2025-02-03,HIPAA,Incident Response,vuln_scan_report.pdf,30,Database,11.0
C0008,In Progress,4,Risk,Mary,2025-03-05,,PCI-DSS,User Access Review,vuln_scan_report.pdf,7,Admin System,
C0009,Failed,1,IT,Mark,2025-03-08,2025-03-27,PCI-DSS,Encryption Control,vuln_scan_report.pdf,7,Application,19.0
C0010,In Progress,3,Operations,David,2025-02-09,,NIST,Patch Management,access_review.xlsx,7,Admin System,
C0011,Completed,9,HR,Brian,2025-01-10,2025-01-12,PCI-DSS,Firewall Configuration,firewall_config.png,14,Admin System,2.0
C0012,In Progress,7,IT,Mark,2025-03-30,,PCI-DSS,Encryption Control,incident_log.txt,30,Application,
C0013,In Progress,7,Finance,Alice,2025-02-21,,HIPAA,Firewall Configuration,incident_log.txt,14,Admin System,
C0014,Completed,4,IT,David,2025-03-13,2025-03-16,HIPAA,Firewall Configuration,firewall_config.png,14,Database,3.0
C0015,Completed,2,Risk,David,2025-03-16,2025-03-27,NIST,Patch Management,firewall_config.png,14,Database,11.0
C0016,Completed,4,Operations,Alice,2025-03-02,2025-03-08,HIPAA,Vulnerability Scan,firewall_config.png,30,Database,6.0
C0017,Completed,6,Operations,Brian,2025-03-05,2025-03-19,HIPAA,Vulnerability Scan,firewall_config.png,7,Database,14.0
C0018,Failed,3,IT,John,2025-01-05,2025-01-24,NIST,Vulnerability Scan,log_patch_001.pdf,30,Application,19.0
C0019,Completed,1,HR,Alice,2025-02-22,2025-03-10,PCI-DSS,Incident Response,incident_log.txt,30,Admin System,16.0
C0020,Completed,8,Finance,Alice,2025-02-24,2025-03-17,NIST,User Access Review,log_patch_001.pdf,14,Admin System,21.0
C0021,Failed,5,Operations,Alice,2025-02-06,2025-02-28,HIPAA,Incident Response,vuln_scan_report.pdf,14,Database,22.0
C0022,Completed,5,Risk,David,2025-02-25,2025-03-21,NIST,Encryption Control,vuln_scan_report.pdf,14,Database,24.0
C0023,Completed,4,Risk,Jane,2025-02-28,2025-03-07,PCI-DSS,Incident Response,incident_log.txt,7,Admin System,7.0
C0024,Completed,6,HR,Mary,2025-03-10,2025-03-18,NIST,Encryption Control,vuln_scan_report.pdf,7,Application,8.0
C0025,Completed,3,Operations,Mark,2025-03-14,2025-04-02,HIPAA,Encryption Control,firewall_config.png,7,Admin System,19.0
C0026,In Progress,9,IT,John,2025-02-28,,HIPAA,User Access Review,log_patch_001.pdf,30,Database,
C0027,Completed,5,Risk,Brian,2025-01-02,2025-01-22,NIST,Patch Management,firewall_config.png,14,Database,20.0
C0028,Failed,3,HR,Brian,2025-03-06,2025-03-22,PCI-DSS,User Access Review,vuln_scan_report.pdf,30,Application,16.0
C0029,Failed,1,Operations,Mark,2025-03-01,2025-03-23,NIST,Vulnerability Scan,log_patch_001.pdf,7,Admin System,22.0
C0030,Completed,6,Operations,Mary,2025-02-20,2025-02-27,PCI-DSS,Vulnerability Scan,firewall_config.png,14,Application,7.0
C0031,Failed,2,Operations,Alice,2025-01-30,2025-02-08,PCI-DSS,Incident Response,incident_log.txt,7,Application,9.0
C0032,Completed,3,Operations,Jane,2025-01-11,2025-01-24,NIST,Encryption Control,firewall_config.png,14,Database,13.0
C0033,Completed,1,Operations,John,2025-03-17,2025-03-18,PCI-DSS,Firewall Configuration,vuln_scan_report.pdf,14,Admin System,1.0
C0034,In Progress,9,Risk,Brian,2025-02-08,,HIPAA,Firewall Configuration,log_patch_001.pdf,30,Database,
C0035,In Progress,8,HR,Mark,2025-03-31,,NIST,Encryption Control,incident_log.txt,30,Admin System,
C0036,In Progress,2,Operations,Susan,2025-03-18,,PCI-DSS,User Access Review,log_patch_001.pdf,7,Database,
C0037,Completed,8,Finance,Jane,2025-03-13,2025-03-21,HIPAA,Patch Management,incident_log.txt,30,Database,8.0
